0      , 8.294478537568813481e-01
0.5    , 8.306464516925178287e-01
1      , 8.314059081431148801e-01
1.5    , 8.317443054051159024e-01
2      , 8.316693930341385599e-01
2.5    , 8.311889205858015162e-01
3      , 8.302873889488679993e-01
3.5    , 8.289492990121015703e-01
4      , 8.271410693678222792e-01
4.5    , 8.248110363119083299e-01
5      , 8.219023697698250031e-01
5.5    , 8.183530732966256549e-01
6      , 8.140882345213330540e-01
6.5    , 8.090355242581757089e-01
7      , 8.031277796917950518e-01
7.5    , 7.963004211920381437e-01
8      , 7.884992018695766713e-01
8.5    , 7.796879571315249446e-01
9      , 7.698356887554096417e-01
9.5    , 7.589372303708185052e-01
10     , 7.470029147185761609e-01
10.5   , 7.340559904655372669e-01
11     , 7.201352053897939198e-01
11.5   , 7.052948063806742107e-01
12     , 6.896019562535371517e-01
12.5   , 6.731212346385356815e-01
13     , 6.559301370918531049e-01
13.5   , 6.381035759844666533e-01
14     , 6.197190468725598533e-01
14.5   , 6.008411293862854219e-01
15     , 5.815421527114145173e-01
15.5   , 5.618789469224818589e-01
16     , 5.419109252792275733e-01
16.5   , 5.216897514857743445e-01
17     , 5.012670892462443017e-01
17.5   , 4.806997686351718868e-01
18     , 4.600394533566794508e-01
18.5   , 4.393533062261258393e-01
19     , 4.187110732440762484e-01
19.5   , 3.981979995223322022e-01
20     , 3.779044965431077596e-01
20.5   , 3.579390580850597137e-01
21     , 3.384179274824630768e-01
21.5   , 3.194599312547992120e-01
22     , 3.011993950327858105e-01
22.5   , 2.837628948915224547e-01
23     , 2.672718405356965810e-01
23.5   , 2.518373089291708888e-01
24     , 2.375548779245716391e-01
24.5   , 2.244994598928760632e-01
25     , 2.127123857973820531e-01
25.5   , 2.022091547493262420e-01
26     , 1.929691012670597394e-01
26.5   , 1.849431448316663784e-01
27     , 1.780434571461383397e-01
27.5   , 1.721537948762004999e-01
28     , 1.671398323911349737e-01
28.5   , 1.628414122081628113e-01
29     , 1.590906272888866213e-01
29.5   , 1.557221537801151690e-01
30     , 1.525732510138632925e-01
30.5   , 1.494966774333826021e-01
31     , 1.463684401487796716e-01
31.5   , 1.430929613074282680e-01
32     , 1.396082444643817200e-01
32.5   , 1.358858745823727510e-01
33     , 1.319361844022258756e-01
33.5   , 1.277953385168265898e-01
34     , 1.235304997415338779e-01
34.5   , 1.192320795585616877e-01
35     , 1.150034053761545688e-01
35.5   , 1.109478046025570430e-01
36     , 1.071737710164258062e-01
36.5   , 1.037742992851810181e-01
37     , 1.008217185945937400e-01
37.5   , 9.836769264878632291e-02
38     , 9.643288692940760187e-02
38.5   , 9.500955188083930192e-02
39     , 9.406410609540190315e-02
39.5   , 9.353455312814873412e-02
40     , 9.333823105248414964e-02
40.5   , 9.337956201578194448e-02
41     , 9.356296816541596895e-02
41.5   , 9.378253890793557257e-02
42     , 9.395044594633294999e-02
42.5   , 9.399177690963074483e-02
43     , 9.385745127891285955e-02
43.5   , 9.351905401691204545e-02
44     , 9.297400193842218774e-02
44.5   , 9.225071008071052125e-02
45     , 9.139825896269319905e-02
45.5   , 9.048639458493527854e-02
46     , 8.959002931841403283e-02
46.5   , 8.879699146013732280e-02
47     , 8.819252612190685292e-02
47.5   , 8.784896248949382314e-02
48     , 8.782571382263881787e-02
48.5   , 8.816411108463961810e-02
49     , 8.887707020152682547e-02
49.5   , 8.995425843247600861e-02
50     , 9.136467755501373467e-02
50.5   , 9.305408067981169040e-02
51     , 9.494755543589258884e-02
51.5   , 9.696243989666078478e-02
52     , 9.901607213552070241e-02
52.5   , 1.010232070406705818e-01
53     , 1.029037658707208924e-01
53.5   , 1.045957521807249629e-01
54     , 1.060604181925910716e-01
54.5   , 1.072719320542581123e-01
55     , 1.082277105805199563e-01
55.5   , 1.089535856234377514e-01
56     , 1.094857217758970214e-01
56.5   , 1.098809491124323190e-01
57     , 1.101960977075781140e-01
57.5   , 1.105060799323116932e-01
58     , 1.108728922315797699e-01
58.5   , 1.113533646799167859e-01
59     , 1.119991609814450645e-01
59.5   , 1.128386961734318128e-01
60     , 1.138874693671137334e-01
60.5   , 1.151454805624907984e-01
61     , 1.165894810927080028e-01
61.5   , 1.181936391057042401e-01
62     , 1.199114572677694446e-01
62.5   , 1.216912718747813482e-01
63     , 1.234814192226177249e-01
63.5   , 1.252328187923623937e-01
64     , 1.268989732503053580e-01
64.5   , 1.284411348183548407e-01
65     , 1.298360548296559058e-01
65.5   , 1.310630678025596352e-01
66     , 1.321221737370660010e-01
66.5   , 1.330211221887933615e-01
67     , 1.337676627133600193e-01
67.5   , 1.343902103480332788e-01
68     , 1.349068473892559017e-01
68.5   , 1.353485720595012376e-01
69     , 1.357334666552121039e-01
69.5   , 1.360873630284495650e-01
70     , 1.364257602904503930e-01
70.5   , 1.367589911820389914e-01
71     , 1.370948052588336907e-01
71.5   , 1.374409520764528769e-01
72     , 1.377948484496903658e-01
72.5   , 1.381564943785461852e-01
73     , 1.385310562334325646e-01
73.5   , 1.389159508291434031e-01
74     , 1.393163445360909303e-01
74.5   , 1.397374037246874035e-01
75     , 1.401868779505510698e-01
75.5   , 1.406725167693003153e-01
76     , 1.412046529217596269e-01
76.5   , 1.417884527783411786e-01
77     , 1.424290827094572276e-01
77.5   , 1.431265427151077185e-01
78     , 1.438679168692622024e-01
78.5   , 1.446480388015083662e-01
79     , 1.454436598449911910e-01
79.5   , 1.462341145180618140e-01
80     , 1.469935709686590597e-01
80.5   , 1.476936141595156793e-01
81     , 1.483058290533644796e-01
81.5   , 1.488095501685565425e-01
